name,id,subject,keywords,API_type,MD_standards
ICES data portal,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography)",eggs and larvae#fish trawl surveys#historical plankton#hydrochemistry#physical sciences,SOAP#other,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115#RDF Data Cube Vocabulary
Michigan Corpus of Academic Spoken English,,1 Humanities and Social Sciences#104 Linguistics#10401 General and Applied Linguistics#10402 Individual Linguistics#11 Humanities,academic speeches#corpora#speech,,
Cross-national Equivalent File,RRID:SCR_008935#RRID:nlx_151820,1 Humanities and Social Sciences#111 Social Sciences#112 Economics#12 Social and Behavioural Sciences,economics#economy#population#social statistics#statistics#survey,,
Buckeye Speech Corpus,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,social sciences#transcripts,,
PHAIDRA - University of Padua,FAIRsharing_doi:10.25504/FAIRsharing.692301#doi.org/10.25430/phaidra,1 Humanities and Social Sciences,Italy#academic#cultural heritage#digital preservation#libraries#museums,OAI-PMH#REST#other,Dublin Core#Repository-Developed Metadata Schemas
UCSD Metabolomics Workbench,FAIRsharing_doi:10.25504/FAIRsharing.xfrgsf#RRID:SCR_013794,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology#3 Natural Sciences#301 Molecular Chemistry#31 Chemistry,bioinformatics#cell#cellular biology#chemical fingerprints#health#magnetic resonance spectrometry#mass spectrometry#metabolism#physiology,FTP#REST,
Regionaal Archief Tilburg,,1 Humanities and Social Sciences#102 History#11 Humanities,certificates collection#multidisciplinary,other,
Lok Dhaba,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#11104 Political Science#12 Social and Behavioural Sciences,India#assembly elections#demography#general elections#poll,,
Repositori Institucional de la URV,ROAR:11366#openDOAR:3351,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,Daniel Vilaró Rius#multidisciplinary,OAI-PMH,Dublin Core
Northern Ontario Plant Database,,"2 Life Sciences#202 Plant Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20704 Ecology of Agricultural Landscapes#20709 Inventory Control and Use of Forest Resources#20710 Basic Forest Research#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",Ontario#flora#habitat#herbarium#species,,
ASTM International,FAIRsharing_doi:10.25504/FAIRsharing.hren8w,"1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences#2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology#3 Natural Sciences#304 Analytical Chemistry, Method Development (Chemistry)#31 Chemistry#32 Physics#34 Geosciences (including Geography)#4 Engineering Sciences#410 Construction Engineering and Architecture#45 Construction Engineering and Architecture",forensic science#international standards#standards#technical spezifications,,
TreeBASE,FAIRsharing_doi:10.25504/FAIRsharing.zcn4w4#RRID:SCR_005688#RRID:nif-0000-03587,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,evolution#evolutionary relationship#genealocial tree#genetics#morphology#phylogenetics#phylogeography#taxonomy,OAI-PMH#REST#other,Darwin Core#Dublin Core
SciCat,,"3 Natural Sciences#309 Particles, Nuclei and Fields#32 Physics",diffraction#hdf5#imaging#neutron#nexus#reflectometry#spallation,,
National Contaminants Information System,,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#31 Chemistry#313 Atmospheric Science and Oceanography#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)",Environment#biota#chemical contaminants#chemistry samples#dioxin#meristics#sediments,,
The Data Hub,RRID:SCR_003996#RRID:nlx_158409,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST,
SumsDB,RRID:SCR_002759#RRID:nif-0000-00016,"2 Life Sciences#206 Neurosciences#20604 Systemic Neuroscience, Computational Neuroscience, Behaviour#20606 Cognitive Neuroscience and Neuroimaging#22 Medicine",brain anatomy#brain mapping#cerebellar cortex#cerebral cortex#neurobiology#neuroinformatics#neurology,,
data.public.lu,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,climate#culture#economy#education#energy#environment#finances#sport#transport,other,
AlgaeBase,,2 Life Sciences#202 Plant Sciences#20201 Plant Systematics and Evolution#20202 Plant Ecology and Ecosystem Analysis#20205 Plant Biochemistry and Biophysics#21 Biology,Chlorophyta#Phaeophyceae#Rhodophyta#algae#brackish#diatoms#flowering plants#freshwater#sea-grasses#seaweed#terrestrial,,
Humanities Data Centre,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#104 Linguistics#105 Literary Studies#11 Humanities#111 Social Sciences#12 Social and Behavioural Sciences",AdWG#Berliner Klassik#Gottfried Wilhelm Leibniz#International migration flows - MPI MMG#Johann Friedrich Blumenbach#Kant Opus Postumum,,
SBGrid Data Bank,FAIRsharing_doi:10.25504/FAIRsharing.1hqd55#OMICS_21660#RRID:SCR_003511#RRID:nif-0000-37641,"2 Life Sciences#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",X-ray crystallography#macromolecular models#nuclear magnetic resonance#structural biology#x-ray diffraction,,DataCite Metadata Schema
Repositorio Institucional Universidad Santo Tomás,OpenDOAR:3896,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,Dublin Core
Greenland Climate Network,,3 Natural Sciences#313 Atmospheric Science and Oceanography#314 Geology and Palaeontology#315 Geophysics and Geodesy#317 Geography#318 Water Research#34 Geosciences (including Geography),climatology#glaciology#humidity#ice sheets#measurements#physical sciences#pressure#temperature#wind,FTP,
Loyalist Migrations,,1 Humanities and Social Sciences#102 History#11 Humanities,American Revolution#loyalists#migration,REST,
GESIS Data Archive,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#12 Social and Behavioural Sciences,FAIR#comparative surveys#digital behavioral data#election data#international surveys#national surveys#polls#social change,OAI-PMH,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#Repository-Developed Metadata Schemas
NCBI GSS,RRID:SCR_002146#RRID:nif-0000-20938,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#204 Microbiology, Virology and Immunology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",DNA#Homology (Biology)#Nucleic acids#Nucleotide sequence,FTP,
SowiDataNet,,,,,
Open Access Power-Grid Frequency Database,,"3 Natural Sciences#310 Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics#32 Physics#4 Engineering Sciences#404 Heat Energy Technology, Thermal Machines, Fluid Mechanics#40401 Energy Process Engineering#408 Electrical Engineering#40803 Electrical Energy Generation, Distribution, Application#42 Thermal Engineering/Process Engineering#44 Computer Science, Electrical and System Engineering",power grids#power-grid frequency,REST,Repository-Developed Metadata Schemas
Precipitation Measurement Missions,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#317 Geography#318 Water Research#34 Geosciences (including Geography)",GPM#TRMM#agriculture#climate dynamics#climate prediction#cyclones#extreme weather#floods#freshwater#global water cycle#landslides#microphysics#tropical storm,,DIF - Directory Interchange Format
ANPERSANA,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10302 Musicology#104 Linguistics#10403 Typology, Non-European Languages, Historical Linguistics#11 Humanities",Basque culture#Basque language#history of the Basque Country#letter#music#oral narrative,,Dublin Core
"Agency for Healthcare Research and Quality, Data & Surveys",RRID:SCR_003604#RRID:nlx_157753,"1 Humanities and Social Sciences#111 Social Sciences#112 Economics#11202 Economic and Social Policy#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",census data#health care#health information technology#health insurance#health policy#patient data#public health,REST,
Network Repository,,"1 Humanities and Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#21 Biology#3 Natural Sciences#32 Physics#33 Mathematics#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",benchmark data sets#exploratory analytics#graph data#interaction#machine learning data#network data#networks#recommendation system data#social network data#statistics#visualization,,
RADAR4Culture,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10301 Art History#10302 Musicology#10303 Theatre and Media Studies#11 Humanities#4 Engineering Sciences#410 Construction Engineering and Architecture#41001 Architecture, Building and Construction History, Sustainable Building Technology, Building Design#45 Construction Engineering and Architecture",FAIR#NFDI#NFDI4Culture#cultural heritage#digital humanities,OAI-PMH#REST,DataCite Metadata Schema#Dublin Core
MiCroKitS,FAIRsharing_doi:10.25504/fairsharing.3cswbc#RRID:SCR_007052#RRID:nif-0000-03126,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",bioinformatics#chromosome#genetics#molecular biology#protein,,
Canadian Open Neuroscience Platform Portal,FAIRsharing_doi:10.25504/FAIRsharing.7qwrhY#RRID:SCR_016433,"2 Life Sciences#201 Basic Biological and Medical Research#205 Medicine#206 Neurosciences#21 Biology#22 Medicine#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",MRI#bioinformatics#brain diseases#epigenomics#genomics#histology#human#mice#neuroimaging,,
ESRF Portal,,"2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#205 Medicine#20530 Radiology and Nuclear Medicine#21 Biology#22 Medicine#3 Natural Sciences#309 Particles, Nuclei and Fields#30901 Particles, Nuclei and Fields#31 Chemistry#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#32 Physics#34 Geosciences (including Geography)",extremely brilliant source#nanobeams#particle accelerator#x-ray,,
Space Physics Data Facility,,3 Natural Sciences#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#32 Physics#34 Geosciences (including Geography),aurora#cosmic ray acceleration#electromagnetic field#geomagnetic storm#heliosphere#magnetosphere#planetary space#solar space#space plasma,FTP,
Gulf of Mexico Research Initiative Information and Data Cooperative,,"1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences#2 Life Sciences#204 Microbiology, Virology and Immunology#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#21 Biology#22 Medicine#3 Natural Sciences#31 Chemistry#32 Physics#34 Geosciences (including Geography)#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",Gulf of Mexico Alliance#OMA#dilution of petroleum#dispersion of petroleum#distribution of petroleum#ecosystem#gas releases#oil spill,REST,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115
World Register of Marine Species,RRID:SCR_013312#RRID:nlx_156921#fairsharing_doi:10.25504/fairsharing.7g1bzj,"2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#203 Zoology#20301 Systematics and Morphology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography)",biodiversity#biology#marine biodiversity#marine biology#marine ecology#marine species diversity#oceanography#taxonomists,REST#SOAP,CF (Climate and Forecast) Metadata Conventions#Darwin Core#Dublin Core#EML - Ecological Metadata Language
Town of Oakville Open Data,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multisdisciplinary,REST,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata
R. L. Kurucz atomic linelist,,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#30801 Optics, Quantum Optics, Atoms, Molecules, Plasmas#309 Particles, Nuclei and Fields#30901 Particles, Nuclei and Fields#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#32 Physics",atoms#computed spectra#linelists#molecules#solar atlases#wavelength,FTP,
National COVID Cohort Collaborative,RRID:SCR_018757,"2 Life Sciences#204 Microbiology, Virology and Immunology#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#21 Biology#22 Medicine",COVID-19#EHR#MERS#SARS 1#clinical data model#electronic health record#observational data,,
JEDI,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences,administration#education#government,,
St. Jude Cloud,,2 Life Sciences#205 Medicine#20503 Human Genetics#20520 Pediatric and Adolescent Medicine#21 Biology#22 Medicine,non-cancerous pediatric diseases#pediatiric cancer survivorship#pediatric cancer#studies,,
NORPERM,,"3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",boreholes#geological survey of Norway#groundtemperatures#miniloggers#permafrost landscape#temperature data in boreholes,other,
SciLifeLab Data Repository,,2 Life Sciences#3 Natural Sciences,FAIR#biodiversity#bioimaging#bioinformatics#biomedicine#cell biology#chemical biology#drug discovery#genomics#proteins,REST,DataCite Metadata Schema#Dublin Core#RDF Data Cube Vocabulary
QsarDB,,2 Life Sciences#21 Biology#3 Natural Sciences#303 Physical and Theoretical Chemistry#30302 General Theoretical Chemistry#31 Chemistry#4 Engineering Sciences#405 Materials Engineering#43 Materials Science and Engineering,FAIR#QSPR#biochemical activities#chemical safety#cheminformatics#computational toxicology#ecotoxicity#environmental fate#human health#physical and chemical properties#predictive models#risk assessment#toxicokinetics,REST,Dublin Core#Repository-Developed Metadata Schemas
National Data Repository,,"3 Natural Sciences#314 Geology and Palaeontology#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)#4 Engineering Sciences#404 Heat Energy Technology, Thermal Machines, Fluid Mechanics#40401 Energy Process Engineering#42 Thermal Engineering/Process Engineering",Coal#Gravity and Magnetic data#Hydrocarbons#Natural gas#Petroleum#Reservoir data#Sedimentary basins#Seismic data#Well and logs,other,
EarthChem Library,FAIRsharing_doi:10.25504/FAIRsharing.ne5dn7,"3 Natural Sciences#314 Geology and Palaeontology#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",climate#diamonds#earth sciences#ecology#environmental science#minerals#mines#rocks,REST#other,
National Center for Earth-Surface Dynamics Data Repository,RRID:SCR_002195#RRID:nlx_154715,"3 Natural Sciences#317 Geography#32 Physics#34 Geosciences (including Geography)#4 Engineering Sciences#403 Process Engineering, Technical Chemistry#42 Thermal Engineering/Process Engineering",Angelo Coast Reserve#DWIP#ESD#Eel River#NCED Watershed Program#Richmond Field Station#SAFL#SRIP#STC#St. Anthony Falls Lab#Stream Restoration Integraded Program#Subsurface Architecture Program#co-evolution#deltas#ecosystem#erosion#physical sciences#streams#watersheds,,
Herschel Science Archive,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,cosmology#galaxy#infrared space mission#photometry#planetary system#solar system#spectroscopy#stars#universe,,
ARACHNE IDAI.objects,,"1 Humanities and Social Sciences#101 Ancient Cultures#10104 Classical Archaeology#102 History#103 Fine Arts, Music, Theatre and Media Studies#10301 Art History#11 Humanities",archaeological objects#archaeology#art history#digitalization#image databank,OAI-PMH,
UCLA Phonetics Lab Archive,,1 Humanities and Social Sciences#104 Linguistics#11 Humanities,humanities,,
DRYAD,FAIRsharing_dOI:10.25504/FAIRsharing.wkggtx#OMICS_20678#ROR:00x6h5n95#RRID:SCR_005910#RRID:nlx_149486,"1 Humanities and Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20302 Evolution, Anthropology#20305 Biochemistry and Animal Physiology#204 Microbiology, Virology and Immunology#20402 Microbial Ecology and Applied Microbiology#20404 Virology#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#314 Geology and Palaeontology#34 Geosciences (including Geography)",FAIR#biodiversity#interdisciplinary#scientific and medical publications,OAI-PMH#REST#other,DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange#RDF Data Cube Vocabulary
BioChem database,,1 Humanities and Social Sciences#2 Life Sciences#21 Biology#3 Natural Sciences#31 Chemistry#318 Water Research#34 Geosciences (including Geography),biomass measurements#chlorophyll#dissolved oxygen#nutrients#pH#plankton,,
edoc server der Berlin-Brandenburgischen Akademie der Wissenschaften,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,Dublin Core
iReceptor,FAIRsharing_doi:10.25504/FAIRsharing.ekdqe5,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#204 Microbiology, Virology and Immunology#20405 Immunology#21 Biology#22 Medicine",B cell receptor complex#BCR#COVID-19#MIARR#T cell receptor#TCR#adaptive immune receptor repertoire#antibody#cancer#immunotherapy,REST#REST#REST#REST,
Dalhousie University Dataverse @ Borealis,,"1 Humanities and Social Sciences#11 Humanities#110 Psychology#113 Jurisprudence#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#206 Neurosciences#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#313 Atmospheric Science and Oceanography#32 Physics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering#45 Construction Engineering and Architecture",Canada#multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#Dublin Core
eData: the STFC Research Data Repository,OpenDOAR:10037,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#309 Particles, Nuclei and Fields#311 Astrophysics and Astronomy#32 Physics",Disordered Materials Database#INS database#ISIS#TOSCA#TXFA#biotechnology#electromagnetic pulse#energy#geometry spectrometer#information technology#laser-plasma#materials development#nuclear physics#synthetic data,OAI-PMH,Dublin Core
NCBI Trace Archive,FAIRsharing_doi:10.25504/FAIRsharing.abwvhp#OMICS_05337#RRID:SCR_013788,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20105 General Genetics#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine#3 Natural Sciences#304 Analytical Chemistry, Method Development (Chemistry)#31 Chemistry#4 Engineering Sciences#403 Process Engineering, Technical Chemistry#42 Thermal Engineering/Process Engineering",DNA#bacteria#biological systems#biology#eukaryota#genomes#genomics#nucleotide sequence#viruses,FTP,
Open Research Data Online,biodbcore-001689,"1 Humanities and Social Sciences#104 Linguistics#11 Humanities#112 Economics#11204 Business Administration#12 Social and Behavioural Sciences#2 Life Sciences#21 Biology#3 Natural Sciences#31 Chemistry#32 Physics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences#407 Systems Engineering#409 Computer Science#44 Computer Science, Electrical and System Engineering",multidisciplinary,OAI-PMH,DataCite Metadata Schema#Dublin Core
ASTER JPL,RRID:SCR_010478#RRID:nlx_157751,"3 Natural Sciences#311 Astrophysics and Astronomy#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",climatology#ecosystems#geology#hazard monitoring#hydrology#land cover#land surface#soils#vegetation#volcano monitoring,,
MetabolomeXchange,RRID:SCR_014664,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology#3 Natural Sciences#301 Molecular Chemistry#31 Chemistry,bioinformatics#cell#chemical fingerprints#health#metabolism,REST,
Toronto and Region Conservation Authority Open Data,,2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,aquatic monitoring#flood management#rainfall#watershed,other,
Perdigao Field Experiment,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),European Union#Lidar observations#Portugal#Wind energy#meteorology,,
Blue Obelisk Data Repository,,3 Natural Sciences#31 Chemistry#32 Physics,bioinformatics#cheminformatics#molecular science,,
Science Data Centre Leibniz-Institute for Solarphysics,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,sun#sun observation,,
DMITRE Petroleum,,"3 Natural Sciences#314 Geology and Palaeontology#31401 Geology and Palaeontology#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",Lithology#Petrology#Stratigraphy#Topography,,
National Database for Clinical Trials Related to Mental Illness,FAIRsharing_doi:10.25504/FAIRsharing.1h7t5t#RRID:SCR_013795,2 Life Sciences#2 Life Sciences#205 Medicine#206 Neurosciences#20606 Cognitive Neuroscience and Neuroimaging#22 Medicine,EEG#EGG#clinical trials#eye tracking#fMRI#human subject,,
BRC,,2 Life Sciences#203 Zoology#21 Biology,Britain#beetles#biological recording#birds#botany#fishes#flies#insects#invertebrate zoology#lichens#liverworts#mosses#vertebrate zoology,,
City of Victoria Open Data Portal,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,GIS apping#census#development#emergency services#financial#land#parking#parks#permit and licence#planning#transportation#underground utilities,REST,
"National Weather Service, Fairbanks, Alaska Region",,3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#317 Geography#318 Water Research#34 Geosciences (including Geography),Fairbanks (Alaska)#climate#forecasting#hydrology#marine biology#meteorology#precipitation (meteorology)#rivers - economic aspects#weather#weather control#weather forecasting,,
Chemical Database Service,,3 Natural Sciences#31 Chemistry,chemistry#crystallography#materials,,
National Microbiology Data Center,,2 Life Sciences#21 Biology#22 Medicine#3 Natural Sciences#31 Chemistry,biological barcodes#genome#metagenome#microbial resources data#microbial safety#microbiomics data#nucleotide,,
Qualiservice,,"1 Humanities and Social Sciences#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10601 Social and Cultural Anthropology and Ethnology/Folklore#109 Education Sciences#11 Humanities#110 Psychology#111 Social Sciences#11102 Empirical Social Research#11103 Communication Science#11104 Political Science#12 Social and Behavioural Sciences",FAIR#anonymization and pseudonymization of qualitative data#contextualisation#data curation#data documentation#data management planning#data protection#data sharing#long-term archiving#metadata for qualitative data#publishing metadata#research data management#research ethics#reuse of qualitative research data#secondary analysis,,DDI - Data Documentation Initiative#Repository-Developed Metadata Schemas
NMDB,,3 Natural Sciences#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#31501 Geophysics#32 Physics#34 Geosciences (including Geography),atmosphere#cosmic ray#energy#galaxy#heliospheric physics#solar physics#stellar explosion#sun#supernova,other,
NAKALA,ISSN 2495-8972,1 Humanities and Social Sciences,arts and humanities#data#digital humanities#humanities#warehouse,OAI-PMH#REST#SPARQL,Dublin Core
Collaborative Research in Computational Neuroscience,RRID:SCR_005608#RRID:nif-0000-00255,2 Life Sciences#206 Neurosciences#22 Medicine,brain#cortex#eye movement#life sciences#retina,,
Remote Sensing Systems,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",climate#earth#geophysics#measurements#microwave data#near-real-time (NRT) data#satellite#satellite microwave remote sensing#satellite microwave sensors#weather,FTP#NetCDF#other,
ToxoDB,FAIRsharing_doi:10.25504/FAIRsharing.a08mtc#MIR:00000153#OMICS_03168#RRID:SCR_013453#RRID:nif-0000-03572,2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology,FAIR#bioinformatics#gene models#immunology#protein#toxoplasma,REST,Repository-Developed Metadata Schemas
BioDare2,,2 Life Sciences#202 Plant Sciences#21 Biology,biological signalling#chronobiology#genotypes#p:LUC#plant development#plant growth#rhythm analysis#time series,,
City of Mississauga Open Data Catalogue,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences,census#culture#health#infrastructure#land use#local government#safety#tourism#transportation,REST,
THEMIS,,"2 Life Sciences#201 Basic Biological and Medical Research#21 Biology#3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",aurora borealis#energy#eruptions#geomagnetism#global substorm phenomena#magnetic fields#magnetosheath#magnetosphere#magnetosphere#northern light#satellite observation#solar wind#spacecraft observations#sun,FTP#FTP#FTP#FTP,
volare,,"3 Natural Sciences#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#317 Geography#34 Geosciences (including Geography)",cultural heritage#historical maps#image databank#images#photo databank#postcards,FTP,
ChemSpider,FAIRsharing_doi:10.25504/FAIRsharing.96f3gm#RRID:SCR_006360#RRID:nlx_152101,2 Life Sciences#21 Biology#22 Medicine#3 Natural Sciences#31 Chemistry,analytical data#chemical structures#chemicals#compounds#data structure#molecules#reactions#spectra#synthetic chemistry,REST,
IUCN Red List of Threatened Species,RRID:SCR_012758#RRID:nlx_156898,"2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",amphibians#biodiversity#birds#butterflies#cichlids#corals#endangered species#extinction (biology)#geographic information systems#groupers#mammals#mangrove plants#parrotfishes#population#reptiles#seagrasses#spatial data infrastructures#taxonomists#wrasses,other,Repository-Developed Metadata Schemas
RETOPEA,,"1 Humanities and Social Sciences#102 History#10203 Modern and Current History#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10605 Religious Studies and Jewish Studies#107 Theology#11 Humanities",history#modern history#religious peace treaties#religious studies#school projects,,
TInnGO Open Data Repository,,"4 Engineering Sciences#407 Systems Engineering#40704 Traffic and Transport Systems, Logistics#40705 Human Factors, Ergonomics, Human-Machine Systems#44 Computer Science, Electrical and System Engineering",experimental data#geospatial data#smart mobility#socio-cultural norms#time series,,
TB Portals,RRID:SCR_016594,"2 Life Sciences#204 Microbiology, Virology and Immunology#205 Medicine#20501 Epidemiology, Medical Biometry, Medical Informatics#20502 Public Health, Health Services Research, Social Medicine#21 Biology#22 Medicine#3 Natural Sciences#317 Geography#31702 Human Geography#34 Geosciences (including Geography)",FAIR#clinical data#genomic data#imaging data#tuberculosis,other,
The Neolithic in the Nile Delta,doi:10.17171/1-9,1 Humanities and Social Sciences#101 Ancient Cultures#102 History#11 Humanities,Egypt#Hermann Junker#Merimde Beni Salama#West Nile Delta#ancient architecture#bifacial#bone tools#food production#grinding stones#lithics#neolithic#pottery,,DataCite Metadata Schema
